position,name,week_start,person_type
3,Джо Байден,2023-06-12,enemy
4,Дмитро Пєсков,2023-06-12,russian
5,Ентоні Блінкен,2023-06-12,enemy
6,Олександр Лукашенко,2023-06-12,friend
7,Дональд Трамп,2023-06-12,friend
8,Емманюель Макрон,2023-06-12,enemy
9,Марія Захарова,2023-06-12,russian
10,Єнс Столтенберг,2023-06-12,enemy
1,Володимир Путін,2023-06-19,russian
2,Володимир Зеленський,2023-06-19,enemy
3,Євген Пригожин,2023-06-19,russian
4,Дмитро Пєсков,2023-06-19,russian
5,Джо Байден,2023-06-19,enemy
6,Олександр Лукашенко,2023-06-19,friend
7,Ентоні Блінкен,2023-06-19,enemy
8,Сергій Шойгу,2023-06-19,russian
9,Сі Цзіньпін,2023-06-19,friend
10,Володимир Сальдо,2023-06-19,russian
1,Володимир Путін,2023-06-26,russian
2,Володимир Зеленський,2023-06-26,enemy
3,Олександр Лукашенко,2023-06-26,friend
4,Євген Пригожин,2023-06-26,russian
5,Джо Байден,2023-06-26,enemy
6,Дмитро Пєсков,2023-06-26,russian
